//射频源频率,时基档(s)
100MHz,5.00E-09
200MHz,5.00E-09
300MHz,2.00E-09
400MHz,2.00E-09
500MHz,2.00E-09
600MHz,1.00E-09
700MHz,1.00E-09
800MHz,1.00E-09
900MHz,5.00E-10
1000MHz,5.00E-10
1100MHz,5.00E-10
1200MHz,5.00E-10
1300MHz,5.00E-10
1400MHz,5.00E-10
1500MHz,5.00E-10
1600MHz,5.00E-10
1700MHz,5.00E-10
1800MHz,5.00E-10
1900MHz,5.00E-10
2000MHz,2.00E-10
2100MHz,2.00E-10
2200MHz,2.00E-10
2300MHz,2.00E-10
2400MHz,2.00E-10
2500MHz,2.00E-10
2600MHz,2.00E-10
2700MHz,2.00E-10
2800MHz,2.00E-10
2900MHz,2.00E-10
3000MHz,2.00E-10
3100MHz,1.00E-10
3200MHz,1.00E-10
3300MHz,1.00E-10
3400MHz,1.00E-10
3500MHz,1.00E-10
3600MHz,1.00E-10
3700MHz,1.00E-10
3800MHz,1.00E-10
3900MHz,1.00E-10
4000MHz,1.00E-10
4100MHz,1.00E-10
4200MHz,1.00E-10
4300MHz,1.00E-10
4400MHz,1.00E-10
4500MHz,1.00E-10
4600MHz,1.00E-10
4700MHz,1.00E-10
4800MHz,1.00E-10
4900MHz,1.00E-10
5000MHz,1.00E-10
