Timestamp: posix.times_result(user=0.98, system=0.2, children_user=0.0, children_system=0.0, elapsed=4892162.12)
Type	Freq(GHz)	Params	Ratio	MSE_Noisy	MSE_Denoised
--------------------------------------------------------------------------------
Square	18.1806	Duty=0.8	2.6730	0.005384	0.014392
Square	17.8009	Duty=0.8	3.2613	0.004264	0.013907
Square	19.9002	Duty=0.8	3.5313	0.003768	0.013306
Square	19.3346	Duty=0.8	2.3093	0.005385	0.012435
Square	19.6172	Duty=0.8	4.1589	0.003057	0.012713
Square	16.5262	Duty=0.8	4.0836	0.003421	0.013971
Square	16.5116	Duty=0.8	1.9033	0.007177	0.013660
Square	15.9402	Duty=0.8	1.9811	0.007663	0.015181
Square	18.4509	Duty=0.8	1.1023	0.009360	0.010318
Square	14.5251	Duty=0.8	2.7036	0.004066	0.010992
Triangle	7.5837	None	1.0728	0.001035	0.001110
Triangle	5.7594	None	1.0622	0.001150	0.001221
DualTone	19.4528	f2=1.5f1	7.9579	0.002278	0.018128
DualTone	4.5255	f2=1.5f1	1.1561	0.002393	0.002767
DualTone	15.7367	f2=1.5f1	10.6531	0.002309	0.024600
DualTone	9.6305	f2=1.5f1	4.9490	0.002214	0.010959
DualTone	4.6300	f2=1.5f1	1.3267	0.002165	0.002873
DualTone	5.2026	f2=1.5f1	3.2692	0.001218	0.003983
DualTone	9.7936	f2=1.5f1	4.7845	0.002300	0.011002
DualTone	6.2208	f2=1.5f1	3.3551	0.001941	0.006511
DualTone	12.6259	f2=1.5f1	18.2898	0.000849	0.015536
DualTone	13.9069	f2=1.5f1	8.4241	0.002126	0.017909
DualTone	18.0998	f2=1.5f1	21.8115	0.001033	0.022527
DualTone	18.2610	f2=1.5f1	11.7867	0.001903	0.022429
DualTone	9.7829	f2=1.5f1	4.2132	0.002711	0.011421
DualTone	9.7620	f2=1.5f1	10.4084	0.000981	0.010210
DualTone	17.3100	f2=1.5f1	9.9581	0.002546	0.025349
DualTone	12.0541	f2=1.5f1	12.6409	0.001102	0.013933
